COMMONNAME,RUN,RECOVERYDOMAIN,ESU_DPS,MAJORPOPGROUP,POPID,NMFS_POPID,LOCATIONNAME,POPULATIONNAME,ESAPOPNAME,COMMONPOPNAME,POPFIT,POPFITNOTES,SMOLTEQLOCATION,SMOLTEQLOCPTCODE,OUTMIGRATIONYEAR,CONTACTAGENCY,METHODNUMBER,BESTVALUE,TOTALNATURAL,TOTALNATURALLOWERLIMIT,TOTALNATURALUPPERLIMIT,TOTALNATURALALPHA,AGE0PROP,AGE0PROPLOWERLIMIT,AGE0PROPUPPERLIMIT,AGE1PROP,AGE1PROPLOWERLIMIT,AGE1PROPUPPERLIMIT,AGE2PROP,AGE2PROPLOWERLIMIT,AGE2PROPUPPERLIMIT,AGE3PROP,AGE3PROPLOWERLIMIT,AGE3PROPUPPERLIMIT,AGE4PLUSPROP,AGE4PLUSPROPLOWERLIMIT,AGE4PLUSPROPUPPERLIMIT,AGEPROPALPHA,PROTMETHNAME,PROTMETHURL,PROTMETHDOCUMENTATION,METHODADJUSTMENTS,OTHERDATASOURCES,COMMENTS,NULLRECORD,DATASTATUS,INDICATORLOCATION,CONTACTPERSONFIRST,CONTACTPERSONLAST,CONTACTPHONE,CONTACTEMAIL,METACOMMENTS,SUBMITAGENCY,REFID,COMPILERRECORDID,ID,CONTACTAGY,DATASETVERSION,UPDDATE,SNLOADDATE,HLI_LASTUPDATED,LASTUPDATED,LASTMODIFIEDON
Chinook salmon,Fall,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Central/South Sound,181,35,Cedar River,Cedar River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Cedar River - fall",Cedar River - fall Chinook salmon,Same," PopFit represents entire Cedar River Watershed, but not entire Lake Washington/Sammamish basin. ",Cedar River,,2012,Washington Department of Fish and Wildlife,12,Yes,902514,736541,1068487,0.05,,,,,,,,,,,,,,,,,,https://wdfw.wa.gov/sites/default/files/publications/01529/wdfw01529.pdf,,,,"From 1992 to 2016, a small floating inclined-plane trap operated nightly from January through early April in the lower river and then a rotary screw trap from April to July.",No,Final,,Peter,Lisi,4257751311,Peter.Lisi@dfw.wa.gov,,WDFW,,a17ab5d6-3c6e-4878-ad6c-aeaafe850165,a17ab5d6-3c6e-4878-ad6c-aeaafe850165,WDFW,2024/11/25 10:00,2020/10/27 12:00:00,2020/10/27 07:49:20,,2020/10/27 07:49:20,2024/09/03 10:15:21
Chinook salmon,Fall,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Central/South Sound,181,35,Cedar River,Cedar River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Cedar River - fall",Cedar River - fall Chinook salmon,Same," PopFit represents entire Cedar River Watershed, but not entire Lake Washington/Sammamish basin. ",Cedar River,,2003,Washington Department of Fish and Wildlife,12,Yes,235397,183912,286882,0.05,,,,,,,,,,,,,,,,,,https://wdfw.wa.gov/publications/00086,,,,"From 1992 to 2016, a small floating inclined-plane trap operated nightly from January through early April in the lower river and then a rotary screw trap from April to July.",No,Final,,Peter,Lisi,4257751311,Peter.Lisi@dfw.wa.gov,,WDFW,,fd398b1d-ae8f-4f55-92c3-a8fa3bc972f5,fd398b1d-ae8f-4f55-92c3-a8fa3bc972f5,WDFW,2024/11/25 10:00,2020/10/27 12:00:00,2020/10/27 07:49:16,,2020/10/27 07:49:16,2024/09/03 10:15:23
Chinook salmon,Fall,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Central/South Sound,181,35,Cedar River,Cedar River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Cedar River - fall",Cedar River - fall Chinook salmon,Same," PopFit represents entire Cedar River Watershed, but not entire Lake Washington/Sammamish basin. ",Cedar River,,2009,Washington Department of Fish and Wildlife,12,Yes,139452,101053,177851,0.05,,,,,,,,,,,,,,,,,,https://wdfw.wa.gov/sites/default/files/publications/01150/wdfw01150.pdf,,,,"From 1992 to 2016, a small floating inclined-plane trap operated nightly from January through early April in the lower river and then a rotary screw trap from April to July.",No,Final,,Peter,Lisi,4257751311,Peter.Lisi@dfw.wa.gov,,WDFW,,a1fc6e7e-27ba-4d00-b534-d5db70bd5c7e,a1fc6e7e-27ba-4d00-b534-d5db70bd5c7e,WDFW,2024/11/25 10:00,2020/10/27 12:00:00,2020/10/27 07:49:18,,2020/10/27 07:49:18,2024/09/03 10:15:24
Chinook salmon,Fall,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Central/South Sound,181,35,Cedar River,Cedar River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Cedar River - fall",Cedar River - fall Chinook salmon,Same," PopFit represents entire Cedar River Watershed, but not entire Lake Washington/Sammamish basin. ",Cedar River,,2007,Washington Department of Fish and Wildlife,12,Yes,125186,108274,142098,0.05,,,,,,,,,,,,,,,,,,https://wdfw.wa.gov/sites/default/files/publications/02082/wdfw02082.pdf,,,,"From 1992 to 2016, a small floating inclined-plane trap operated nightly from January through early April in the lower river and then a rotary screw trap from April to July.",No,Final,,Peter,Lisi,4257751311,Peter.Lisi@dfw.wa.gov,,WDFW,,3c0e2702-4e3f-4433-a768-e26e927db2e7,3c0e2702-4e3f-4433-a768-e26e927db2e7,WDFW,2024/11/25 10:00,2020/10/27 12:00:00,2020/10/27 07:49:18,,2020/10/27 07:49:18,2024/09/03 10:15:26
Chinook salmon,Fall,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Central/South Sound,181,35,Cedar River,Cedar River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Cedar River - fall",Cedar River - fall Chinook salmon,Same," PopFit represents entire Cedar River Watershed, but not entire Lake Washington/Sammamish basin. ",Cedar River,,2017,Washington Department of Fish and Wildlife,1,Yes,174719,136997,212441,0.05,,,,,,,,,,,,,,,,,,https://wdfw.wa.gov/sites/default/files/publications/01981/wdfw01981.pdf,,Only a rotary screw trap was fished nightly from January to July.,,"Since 2017, only a rotary screw trap was fished nightly from January to July. The inclined plane trap was retired. ",No,Final,,Peter,Lisi,4257751311,Peter.Lisi@dfw.wa.gov,,WDFW,17240,d084ce5d-185e-47c6-a494-7cd8c6f75297,d084ce5d-185e-47c6-a494-7cd8c6f75297,WDFW,2024/11/25 10:00,2020/10/27 12:00:00,2020/10/27 07:49:22,,2020/10/27 07:49:22,2024/09/03 10:15:28
Chinook salmon,Fall,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Central/South Sound,181,35,Cedar River,Cedar River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Cedar River - fall",Cedar River - fall Chinook salmon,Same," PopFit represents entire Cedar River Watershed, but not entire Lake Washington/Sammamish basin. ",Cedar River,,2011,Washington Department of Fish and Wildlife,12,Yes,187806,124246,251366,0.05,,,,,,,,,,,,,,,,,,https://wdfw.wa.gov/sites/default/files/publications/01380/wdfw01380.pdf,,,,"From 1992 to 2016, a small floating inclined-plane trap operated nightly from January through early April in the lower river and then a rotary screw trap from April to July.",No,Final,,Peter,Lisi,4257751311,Peter.Lisi@dfw.wa.gov,,WDFW,,d0849d57-7d85-45b9-b0f3-34a28b240527,d0849d57-7d85-45b9-b0f3-34a28b240527,WDFW,2024/11/25 10:00,2020/10/27 12:00:00,2020/10/27 07:49:19,,2020/10/27 07:49:19,2024/09/03 10:15:29
Chinook salmon,Fall,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Central/South Sound,181,35,Cedar River,Cedar River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Cedar River - fall",Cedar River - fall Chinook salmon,Same," PopFit represents entire Cedar River Watershed, but not entire Lake Washington/Sammamish basin. ",Cedar River,,2005,Washington Department of Fish and Wildlife,12,Yes,134298,91386,177210,0.05,,,,,,,,,,,,,,,,,,https://wdfw.wa.gov/sites/default/files/publications/02082/wdfw02082.pdf,,,,"From 1992 to 2016, a small floating inclined-plane trap operated nightly from January through early April in the lower river and then a rotary screw trap from April to July.",No,Final,,Peter,Lisi,4257751311,Peter.Lisi@dfw.wa.gov,,WDFW,,d59b30c2-96e2-461e-a886-901ebd4b3642,d59b30c2-96e2-461e-a886-901ebd4b3642,WDFW,2024/11/25 10:00,2020/10/27 12:00:00,2020/10/27 07:49:17,,2020/10/27 07:49:17,2024/09/03 10:15:30
Chinook salmon,Fall,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Central/South Sound,181,35,Cedar River,Cedar River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Cedar River - fall",Cedar River - fall Chinook salmon,Same," PopFit represents entire Cedar River Watershed, but not entire Lake Washington/Sammamish basin. ",Cedar River,,1999,Washington Department of Fish and Wildlife,12,Yes,80932,73200,88664,0.05,,,,,,,,,,,,,,,,,,https://wdfw.wa.gov/sites/default/files/publications/02082/wdfw02082.pdf,,,,"From 1992 to 2016, a small floating inclined-plane trap operated nightly from January through early April in the lower river and then a rotary screw trap from April to July.",No,Final,,Peter,Lisi,4257751311,Peter.Lisi@dfw.wa.gov,,WDFW,,aa3e480e-38ef-4c5d-8486-017bd6c8b661,aa3e480e-38ef-4c5d-8486-017bd6c8b661,WDFW,2024/11/25 10:00,2020/10/27 12:00:00,2020/10/27 07:49:13,,2020/10/27 07:49:13,2024/09/03 10:15:31
Chinook salmon,Fall,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Central/South Sound,181,35,Cedar River,Cedar River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Cedar River - fall",Cedar River - fall Chinook salmon,Same," PopFit represents entire Cedar River Watershed, but not entire Lake Washington/Sammamish basin. ",Cedar River,,2015,Washington Department of Fish and Wildlife,12,Yes,347663,257440,437886,0.05,,,,,,,,,,,,,,,,,,https://wdfw.wa.gov/publications/01794,,,,"From 1992 to 2016, a small floating inclined-plane trap operated nightly from January through early April in the lower river and then a rotary screw trap from April to July.",No,Final,,Peter,Lisi,4257751311,Peter.Lisi@dfw.wa.gov,,WDFW,,3b831ae2-4c8b-4037-9924-f07cb7401f49,3b831ae2-4c8b-4037-9924-f07cb7401f49,WDFW,2024/11/25 10:00,2020/10/27 12:00:00,2020/10/27 07:49:21,,2020/10/27 07:49:21,2024/09/03 10:15:33
Chinook salmon,Fall,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Central/South Sound,181,35,Cedar River,Cedar River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Cedar River - fall",Cedar River - fall Chinook salmon,Same," PopFit represents entire Cedar River Watershed, but not entire Lake Washington/Sammamish basin. ",Cedar River,,2019,Washington Department of Fish and Wildlife,1,Yes,224657,164069,285245,0.05,,,,,,,,,,,,,,,,,,https://wdfw.wa.gov/sites/default/files/publications/02082/wdfw02082.pdf,,Only a rotary screw trap was fished nightly from January to July.,,"Since 2017, only a rotary screw trap was fished nightly from January to July. The inclined plane trap was retired. ",No,Final,,Peter,Lisi,4257751311,Peter.Lisi@dfw.wa.gov,,WDFW,17240,5eb3bd5e-0597-4ec4-b36d-87c7f9953b40,5eb3bd5e-0597-4ec4-b36d-87c7f9953b40,WDFW,2024/11/25 10:00,2020/10/27 12:00:00,2020/10/27 07:49:23,,2020/10/27 07:49:23,2024/09/03 10:15:34
Chinook salmon,Fall,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Central/South Sound,181,35,Cedar River,Cedar River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Cedar River - fall",Cedar River - fall Chinook salmon,Same," PopFit represents entire Cedar River Watershed, but not entire Lake Washington/Sammamish basin. ",Cedar River,,2001,Washington Department of Fish and Wildlife,12,Yes,32249,27029,37469,0.05,,,,,,,,,,,,,,,,,,https://wdfw.wa.gov/sites/default/files/publications/02082/wdfw02082.pdf,,,,"From 1992 to 2016, a small floating inclined-plane trap operated nightly from January through early April in the lower river and then a rotary screw trap from April to July.",No,Final,,Peter,Lisi,4257751311,Peter.Lisi@dfw.wa.gov,,WDFW,,16c8f4f6-e2a6-4015-8651-9d143562ce40,16c8f4f6-e2a6-4015-8651-9d143562ce40,WDFW,2024/11/25 10:00,2020/10/27 12:00:00,2020/10/27 07:49:15,,2020/10/27 07:49:15,2024/09/03 10:15:36
Chinook salmon,Fall,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Central/South Sound,181,35,Cedar River,Cedar River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Cedar River - fall",Cedar River - fall Chinook salmon,Same," PopFit represents entire Cedar River Watershed, but not entire Lake Washington/Sammamish basin. ",Cedar River,,2006,Washington Department of Fish and Wildlife,12,Yes,117559,101326,133792,0.05,,,,,,,,,,,,,,,,,,https://wdfw.wa.gov/sites/default/files/publications/02082/wdfw02082.pdf,,,,"From 1992 to 2016, a small floating inclined-plane trap operated nightly from January through early April in the lower river and then a rotary screw trap from April to July.",No,Final,,Peter,Lisi,4257751311,Peter.Lisi@dfw.wa.gov,,WDFW,,dd49697b-5270-4ebd-8014-7f08ded1c557,dd49697b-5270-4ebd-8014-7f08ded1c557,WDFW,2024/11/25 10:00,2020/10/27 12:00:00,2020/10/27 07:49:17,,2020/10/27 07:49:17,2024/09/03 10:15:37
Chinook salmon,Fall,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Central/South Sound,181,35,Cedar River,Cedar River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Cedar River - fall",Cedar River - fall Chinook salmon,Same," PopFit represents entire Cedar River Watershed, but not entire Lake Washington/Sammamish basin. ",Cedar River,,2014,Washington Department of Fish and Wildlife,12,Yes,1458761,1068722,1848800,0.05,,,,,,,,,,,,,,,,,,https://wdfw.wa.gov/publications/01718,,,,"From 1992 to 2016, a small floating inclined-plane trap operated nightly from January through early April in the lower river and then a rotary screw trap from April to July.",No,Final,,Peter,Lisi,4257751311,Peter.Lisi@dfw.wa.gov,,WDFW,,09f08cc7-17a1-4e2f-be54-e04efd56fb88,09f08cc7-17a1-4e2f-be54-e04efd56fb88,WDFW,2024/11/25 10:00,2020/10/27 12:00:00,2020/10/27 07:49:21,,2020/10/27 07:49:21,2024/09/03 10:15:38
Chinook salmon,Fall,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Central/South Sound,181,35,Cedar River,Cedar River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Cedar River - fall",Cedar River - fall Chinook salmon,Same," PopFit represents entire Cedar River Watershed, but not entire Lake Washington/Sammamish basin. ",Cedar River,,2002,Washington Department of Fish and Wildlife,12,Yes,119674,78325,161023,0.05,,,,,,,,,,,,,,,,,,https://wdfw.wa.gov/sites/default/files/publications/02082/wdfw02082.pdf,,,,"From 1992 to 2016, a small floating inclined-plane trap operated nightly from January through early April in the lower river and then a rotary screw trap from April to July.",No,Final,,Peter,Lisi,4257751311,Peter.Lisi@dfw.wa.gov,,WDFW,,49fadce1-0183-42d5-9bb3-ad9558c4e2de,49fadce1-0183-42d5-9bb3-ad9558c4e2de,WDFW,2024/11/25 10:00,2020/10/27 12:00:00,2020/10/27 07:49:15,,2020/10/27 07:49:15,2024/09/03 10:15:40
Chinook salmon,Fall,Puget Sound,"Salmon, Chinook (Puget Sound ESU)",Central/South Sound,181,35,Cedar River,Cedar River - fall Chinook salmon,"Salmon, Chinook (Puget Sound ESU) Cedar River - fall",Cedar River - fall Chinook salmon,Same," PopFit represents entire Cedar River Watershed, but not entire Lake Washington/Sammamish basin. ",Cedar River,,2018,Washington Department of Fish and Wildlife,1,Yes,524378,445928,602828,0.05,,,,,,,,,,,,,,,,,,https://wdfw.wa.gov/sites/default/files/publications/02082/wdfw02082.pdf,,Only a rotary screw trap was fished nightly from January to July.,,"Since 2017, only a rotary screw trap was fished nightly from January to July. The inclined plane trap was retired. ",No,Final,,Peter,Lisi,4257751311,Peter.Lisi@dfw.wa.gov,,WDFW,17240,06b6e6c4-0e16-43ae-93cc-013b42c1c987,06b6e6c4-0e16-43ae-93cc-013b42c1c987,WDFW,2024/11/25 10:00,2020/10/27 12:00:00,2020/10/27 07:49:23,,2020/10/27 07:49:23,2024/09/03 10:15:41
