COMMONNAME,RUN,RECOVERYDOMAIN,ESU_DPS,MAJORPOPGROUP,POPID,NMFS_POPID,LOCATIONNAME,POPULATIONNAME,ESAPOPNAME,COMMONPOPNAME,POPFIT,POPFITNOTES,SMOLTLOCATION,SMOLTDEF,SMOLTLOCPTCODE,ADULTLOCATION,SMOLTTOADULTLOCS,SARTYPE,SCOPEOFINFERENCE,OUTMIGRATIONYEAR,TRTMETHOD,CONTACTAGY,CONTACTAGENCY,METHODNUMBER,BESTVALUE,SAR,SARLOWERLIMIT,SARUPPERLIMIT,SARALPHA,RETURNSMISSING,RETURNSMISSINGEXPLANATION,REARINGTYPE,TSO,TSOLOWERLIMIT,TSOUPPERLIMIT,TSOALPHA,TAR,TARLOWERLIMIT,TARUPPERLIMIT,TARALPHA,RETURNDEF,HARVESTADJ,OCEANHARVEST,MAINSTEMHARVEST,TRIBHARVEST,BROODSTOCKREMOVED,PROTMETHNAME,PROTMETHURL,PROTMETHDOCUMENTATION,METHODADJUSTMENTS,OTHERDATASOURCES,COMMENTS,NULLRECORD,DATASTATUS,INDICATORLOCATION,METRICLOCATION,MEASURELOCATION,CONTACTPERSONFIRST,CONTACTPERSONLAST,CONTACTPHONE,CONTACTEMAIL,METACOMMENTS,SUBMITAGENCY,REFID,COMPILERRECORDID,ID,DATASETVERSION,UPDDATE,SNLOADDATE,HLI_LASTUPDATED,LASTUPDATED,LASTMODIFIEDON
Steelhead,Summer,Interior Columbia,Steelhead (Middle Columbia River DPS),Walla Walla and Umatilla,70,263,Umatilla River,Umatilla River - summer Steelhead,Steelhead (Middle Columbia River DPS) Umatilla River - summer,Umatilla River steelhead,Same,,Threemile Falls Dam,Smolts outmigrating past a point,,Threemile Falls Dam,From Threemile Falls Dam to Threemile Falls Dam,Including jacks,,1998,Yes,ODFW,Oregon Department of Fish and Wildlife,1,Yes,4.51,,,,No,,Natural,69328,,,,3124,,,,Returns to a dam,Tributaries,,,,,"Estimating Salmonid Smolt Abundance in Northeast-Central, Oregon v1.0",https://www.monitoringresources.org/Document/Protocol/Details/2176,,,Confederated Tribes of the Umatilla Indian Reservation,,No,Final,,,Smolt trap and dam counts may be found at https://www.streamnet.org/data/trends/,Kasey,Bliesner,541-975-3670,kasey.bliesner@odfw.oregon.gov,ODFW reserves the right to review and revise the data at any time.,ODFW,,30618010314,F75AF268-61F4-4B84-A680-327352941ABA,2024/11/25 10:00,2022/11/22 01:28:00,2018/08/24 10:34:37,2021/01/12 02:38:16,2021/01/12 02:38:16,2022/12/05 09:22:24
Steelhead,Summer,Interior Columbia,Steelhead (Middle Columbia River DPS),Walla Walla and Umatilla,70,263,Umatilla River,Umatilla River - summer Steelhead,Steelhead (Middle Columbia River DPS) Umatilla River - summer,Umatilla River steelhead,Same,,Threemile Falls Dam,Smolts outmigrating past a point,,Threemile Falls Dam,From Threemile Falls Dam to Threemile Falls Dam,Including jacks,,1999,Yes,ODFW,Oregon Department of Fish and Wildlife,1,Yes,4.57,,,,No,,Natural,49516,,,,2265,,,,Returns to a dam,Tributaries,,,,,"Estimating Salmonid Smolt Abundance in Northeast-Central, Oregon v1.0",https://www.monitoringresources.org/Document/Protocol/Details/2176,,,Confederated Tribes of the Umatilla Indian Reservation,,No,Final,,,Smolt trap and dam counts may be found at https://www.streamnet.org/data/trends/,Kasey,Bliesner,541-975-3670,kasey.bliesner@odfw.oregon.gov,ODFW reserves the right to review and revise the data at any time.,ODFW,,30618010314,C8568FD3-41F2-4C24-88F6-DE0897CF1EE7,2024/11/25 10:00,2022/11/22 01:28:00,2018/08/24 10:34:27,2021/01/12 02:38:16,2021/01/12 02:38:16,2022/12/05 09:22:23
Steelhead,Summer,Interior Columbia,Steelhead (Middle Columbia River DPS),Walla Walla and Umatilla,70,263,Umatilla River,Umatilla River - summer Steelhead,Steelhead (Middle Columbia River DPS) Umatilla River - summer,Umatilla River steelhead,Same,,Threemile Falls Dam,Smolts outmigrating past a point,,Threemile Falls Dam,From Threemile Falls Dam to Threemile Falls Dam,Including jacks,,2000,Yes,ODFW,Oregon Department of Fish and Wildlife,1,Yes,7.31,,,,No,,Natural,56007,,,,4096,,,,Returns to a dam,Tributaries,,,,,"Estimating Salmonid Smolt Abundance in Northeast-Central, Oregon v1.0",https://www.monitoringresources.org/Document/Protocol/Details/2176,,,Confederated Tribes of the Umatilla Indian Reservation,,No,Final,,,Smolt trap and dam counts may be found at https://www.streamnet.org/data/trends/,Kasey,Bliesner,541-975-3670,kasey.bliesner@odfw.oregon.gov,ODFW reserves the right to review and revise the data at any time.,ODFW,,30618010314,476677BD-28B5-430D-88AD-E17E6A24D9B2,2024/11/25 10:00,2022/11/22 01:28:00,2018/08/24 10:34:02,2021/01/12 02:38:15,2021/01/12 02:38:15,2022/12/05 09:22:22
Steelhead,Summer,Interior Columbia,Steelhead (Middle Columbia River DPS),Walla Walla and Umatilla,70,263,Umatilla River,Umatilla River - summer Steelhead,Steelhead (Middle Columbia River DPS) Umatilla River - summer,Umatilla River steelhead,Same,,Threemile Falls Dam,Smolts outmigrating past a point,,Threemile Falls Dam,From Threemile Falls Dam to Threemile Falls Dam,Including jacks,,2001,Yes,ODFW,Oregon Department of Fish and Wildlife,1,Yes,3.45,,,,No,,Natural,32853,,,,1132,,,,Returns to a dam,Tributaries,,,,,"Estimating Salmonid Smolt Abundance in Northeast-Central, Oregon v1.0",https://www.monitoringresources.org/Document/Protocol/Details/2176,,,Confederated Tribes of the Umatilla Indian Reservation,,No,Final,,,Smolt trap and dam counts may be found at https://www.streamnet.org/data/trends/,Kasey,Bliesner,541-975-3670,kasey.bliesner@odfw.oregon.gov,ODFW reserves the right to review and revise the data at any time.,ODFW,,30618010314,8D5B6B22-ABAC-4E84-BAC8-141A2132FC7A,2024/11/25 10:00,2022/11/22 01:28:00,2018/08/24 10:34:20,2021/01/12 02:38:15,2021/01/12 02:38:15,2022/12/05 09:22:21
Steelhead,Summer,Interior Columbia,Steelhead (Middle Columbia River DPS),Walla Walla and Umatilla,70,263,Umatilla River,Umatilla River - summer Steelhead,Steelhead (Middle Columbia River DPS) Umatilla River - summer,Umatilla River steelhead,Same,,Threemile Falls Dam,Smolts outmigrating past a point,,Threemile Falls Dam,From Threemile Falls Dam to Threemile Falls Dam,Including jacks,,2002,Yes,ODFW,Oregon Department of Fish and Wildlife,1,Yes,2.76,,,,No,,Natural,82005,,,,2266,,,,Returns to a dam,Tributaries,,,,,"Estimating Salmonid Smolt Abundance in Northeast-Central, Oregon v1.0",https://www.monitoringresources.org/Document/Protocol/Details/2176,,,Confederated Tribes of the Umatilla Indian Reservation,,No,Final,,,Smolt trap and dam counts may be found at https://www.streamnet.org/data/trends/,Kasey,Bliesner,541-975-3670,kasey.bliesner@odfw.oregon.gov,ODFW reserves the right to review and revise the data at any time.,ODFW,,30618010314,2C086969-EBBB-4548-8D2A-062CE93CB03F,2024/11/25 10:00,2022/11/22 01:28:00,2018/08/24 10:33:54,2021/01/12 02:38:14,2021/01/12 02:38:14,2022/12/05 09:22:20
Steelhead,Summer,Interior Columbia,Steelhead (Middle Columbia River DPS),Walla Walla and Umatilla,70,263,Umatilla River,Umatilla River - summer Steelhead,Steelhead (Middle Columbia River DPS) Umatilla River - summer,Umatilla River steelhead,Same,,Threemile Falls Dam,Smolts outmigrating past a point,,Threemile Falls Dam,From Threemile Falls Dam to Threemile Falls Dam,Including jacks,,2003,Yes,ODFW,Oregon Department of Fish and Wildlife,1,Yes,6.8,,,,No,,Natural,24601,,,,1672,,,,Returns to a dam,Tributaries,,,,,"Estimating Salmonid Smolt Abundance in Northeast-Central, Oregon v1.0",https://www.monitoringresources.org/Document/Protocol/Details/2176,,,Confederated Tribes of the Umatilla Indian Reservation,,No,Final,,,Smolt trap and dam counts may be found at https://www.streamnet.org/data/trends/,Kasey,Bliesner,541-975-3670,kasey.bliesner@odfw.oregon.gov,ODFW reserves the right to review and revise the data at any time.,ODFW,,30618010314,42769680-F17F-4852-A738-5E0304487FBD,2024/11/25 10:00,2022/11/22 01:29:00,2018/08/24 10:34:00,2021/01/12 02:38:14,2021/01/12 02:38:14,2022/12/05 09:22:19
Steelhead,Summer,Interior Columbia,Steelhead (Middle Columbia River DPS),Walla Walla and Umatilla,70,263,Umatilla River,Umatilla River - summer Steelhead,Steelhead (Middle Columbia River DPS) Umatilla River - summer,Umatilla River steelhead,Same,,Threemile Falls Dam,Smolts outmigrating past a point,,Threemile Falls Dam,From Threemile Falls Dam to Threemile Falls Dam,Including jacks,,2004,Yes,ODFW,Oregon Department of Fish and Wildlife,1,Yes,5.15,,,,No,,Natural,32105,,,,1652,,,,Returns to a dam,Tributaries,,,,,"Estimating Salmonid Smolt Abundance in Northeast-Central, Oregon v1.0",https://www.monitoringresources.org/Document/Protocol/Details/2176,,,Confederated Tribes of the Umatilla Indian Reservation,,No,Final,,,Smolt trap and dam counts may be found at https://www.streamnet.org/data/trends/,Kasey,Bliesner,541-975-3670,kasey.bliesner@odfw.oregon.gov,ODFW reserves the right to review and revise the data at any time.,ODFW,,30618010314,DD30E2E6-EB55-4C3A-85BE-DC8BBFDBE365,2024/11/25 10:00,2022/11/22 01:29:00,2018/08/24 10:34:34,2021/01/12 02:38:14,2021/01/12 02:38:14,2022/12/05 09:22:17
Steelhead,Summer,Interior Columbia,Steelhead (Middle Columbia River DPS),Walla Walla and Umatilla,70,263,Umatilla River,Umatilla River - summer Steelhead,Steelhead (Middle Columbia River DPS) Umatilla River - summer,Umatilla River steelhead,Same,,Threemile Falls Dam,Smolts outmigrating past a point,,Threemile Falls Dam,From Threemile Falls Dam to Threemile Falls Dam,Including jacks,,2005,Yes,ODFW,Oregon Department of Fish and Wildlife,1,Yes,5.65,,,,No,,Natural,51897,,,,2932,,,,Returns to a dam,Tributaries,,,,,"Estimating Salmonid Smolt Abundance in Northeast-Central, Oregon v1.0",https://www.monitoringresources.org/Document/Protocol/Details/2176,,,Confederated Tribes of the Umatilla Indian Reservation,,No,Final,,,Smolt trap and dam counts may be found at https://www.streamnet.org/data/trends/,Kasey,Bliesner,541-975-3670,kasey.bliesner@odfw.oregon.gov,ODFW reserves the right to review and revise the data at any time.,ODFW,,30618010314,8D3BF8DA-5DF3-47BE-856E-64571F55CC0E,2024/11/25 10:00,2022/11/22 01:29:00,2018/08/24 10:34:19,2021/01/12 02:38:13,2021/01/12 02:38:13,2022/12/05 09:22:17
Steelhead,Summer,Interior Columbia,Steelhead (Middle Columbia River DPS),Walla Walla and Umatilla,70,263,Umatilla River,Umatilla River - summer Steelhead,Steelhead (Middle Columbia River DPS) Umatilla River - summer,Umatilla River steelhead,Same,,Threemile Falls Dam,Smolts outmigrating past a point,,Threemile Falls Dam,From Threemile Falls Dam to Threemile Falls Dam,Including jacks,,2006,Yes,ODFW,Oregon Department of Fish and Wildlife,1,Yes,5.3,,,,No,,Natural,36080,,,,1911,,,,Returns to a dam,Tributaries,,,,,"Estimating Salmonid Smolt Abundance in Northeast-Central, Oregon v1.0",https://www.monitoringresources.org/Document/Protocol/Details/2176,,,Confederated Tribes of the Umatilla Indian Reservation,,No,Final,,,Smolt trap and dam counts may be found at https://www.streamnet.org/data/trends/,Kasey,Bliesner,541-975-3670,kasey.bliesner@odfw.oregon.gov,ODFW reserves the right to review and revise the data at any time.,ODFW,,30618010314,D28613D7-6901-495E-B908-5BD03066AD19,2024/11/25 10:00,2022/11/22 01:29:00,2018/08/24 10:34:30,2021/01/12 02:38:13,2021/01/12 02:38:13,2022/12/05 09:22:15
Steelhead,Summer,Interior Columbia,Steelhead (Middle Columbia River DPS),Walla Walla and Umatilla,70,263,Umatilla River,Umatilla River - summer Steelhead,Steelhead (Middle Columbia River DPS) Umatilla River - summer,Umatilla River steelhead,Same,,Threemile Falls Dam,Smolts outmigrating past a point,,Threemile Falls Dam,From Threemile Falls Dam to Threemile Falls Dam,Including jacks,,2007,Yes,ODFW,Oregon Department of Fish and Wildlife,1,Yes,8.85,,,,No,,Natural,31647,,,,2801,,,,Returns to a dam,Tributaries,,,,,"Estimating Salmonid Smolt Abundance in Northeast-Central, Oregon v1.0",https://www.monitoringresources.org/Document/Protocol/Details/2176,,,Confederated Tribes of the Umatilla Indian Reservation,,No,Final,,,Smolt trap and dam counts may be found at https://www.streamnet.org/data/trends/,Kasey,Bliesner,541-975-3670,kasey.bliesner@odfw.oregon.gov,ODFW reserves the right to review and revise the data at any time.,ODFW,,30618010314,33223708-4D3B-4523-82AB-0D473162B6DD,2024/11/25 10:00,2022/11/22 01:29:00,2018/08/24 10:33:57,2021/01/12 02:38:13,2021/01/12 02:38:13,2022/12/05 09:22:14
Steelhead,Summer,Interior Columbia,Steelhead (Middle Columbia River DPS),Walla Walla and Umatilla,70,263,Umatilla River,Umatilla River - summer Steelhead,Steelhead (Middle Columbia River DPS) Umatilla River - summer,Umatilla River steelhead,Same,,Threemile Falls Dam,Smolts outmigrating past a point,,Threemile Falls Dam,From Threemile Falls Dam to Threemile Falls Dam,Including jacks,,2008,Yes,ODFW,Oregon Department of Fish and Wildlife,1,Yes,,,,,N/A,,Natural,,,,,,,,,Returns to a dam,,,,,,"Estimating Salmonid Smolt Abundance in Northeast-Central, Oregon v1.0",https://www.monitoringresources.org/Document/Protocol/Details/2176,,,Confederated Tribes of the Umatilla Indian Reservation,No smolt data available.,Yes,Final,,,Smolt trap and dam counts may be found at https://www.streamnet.org/data/trends/,Kasey,Bliesner,541-975-3670,kasey.bliesner@odfw.oregon.gov,ODFW reserves the right to review and revise the data at any time.,ODFW,,30618010314,97549334-B9B3-4582-AD94-E002DF52A1C9,2024/11/25 10:00,2024/07/22 12:55:00,2018/08/24 10:34:23,,2017/09/28 12:00:00,2024/07/22 12:56:03
Steelhead,Summer,Interior Columbia,Steelhead (Middle Columbia River DPS),Walla Walla and Umatilla,70,263,Umatilla River,Umatilla River - summer Steelhead,Steelhead (Middle Columbia River DPS) Umatilla River - summer,Umatilla River steelhead,Same,,Threemile Falls Dam,Smolts outmigrating past a point,,Threemile Falls Dam,From Threemile Falls Dam to Threemile Falls Dam,Including jacks,,2009,Yes,ODFW,Oregon Department of Fish and Wildlife,1,Yes,10.45,,,,No,,Natural,33883,,,,3541,,,,Returns to a dam,Tributaries,,,,,"Estimating Salmonid Smolt Abundance in Northeast-Central, Oregon v1.0",https://www.monitoringresources.org/Document/Protocol/Details/2176,,,Confederated Tribes of the Umatilla Indian Reservation,,No,Final,,,Smolt trap and dam counts may be found at https://www.streamnet.org/data/trends/,Kasey,Bliesner,541-975-3670,kasey.bliesner@odfw.oregon.gov,ODFW reserves the right to review and revise the data at any time.,ODFW,,30618010314,C3BC1656-B6F4-4ED4-A67B-0D08C470BAFC,2024/11/25 10:00,2022/11/22 01:30:00,2018/08/24 10:34:26,2021/01/12 02:38:12,2021/01/12 02:38:12,2022/12/05 09:22:11
Steelhead,Summer,Interior Columbia,Steelhead (Middle Columbia River DPS),Walla Walla and Umatilla,70,263,Umatilla River,Umatilla River - summer Steelhead,Steelhead (Middle Columbia River DPS) Umatilla River - summer,Umatilla River steelhead,Same,,Threemile Falls Dam,Smolts outmigrating past a point,,Threemile Falls Dam,From Threemile Falls Dam to Threemile Falls Dam,Including jacks,,2010,Yes,ODFW,Oregon Department of Fish and Wildlife,1,Yes,5.3,,,,No,,Natural,63017,,,,3342,,,,Returns to a dam,Tributaries,,,,,"Estimating Salmonid Smolt Abundance in Northeast-Central, Oregon v1.0",https://www.monitoringresources.org/Document/Protocol/Details/2176,,,Confederated Tribes of the Umatilla Indian Reservation,,No,Final,,,Smolt trap and dam counts may be found at https://www.streamnet.org/data/trends/,Kasey,Bliesner,541-975-3670,kasey.bliesner@odfw.oregon.gov,ODFW reserves the right to review and revise the data at any time.,ODFW,,30618010314,9D382A22-4B15-4A82-832F-62596921D22E,2024/11/25 10:00,2022/11/22 01:30:00,2018/08/24 10:34:24,2021/01/12 02:38:11,2021/01/12 02:38:11,2022/12/05 09:22:09
Steelhead,Summer,Interior Columbia,Steelhead (Middle Columbia River DPS),Walla Walla and Umatilla,70,263,Umatilla River,Umatilla River - summer Steelhead,Steelhead (Middle Columbia River DPS) Umatilla River - summer,,Same,,John Day Dam,Smolts outmigrating past a point,JDA,Bonneville Dam,From John Day Dam to Bonneville Dam,Including jacks,,2011,,FPC,Fish Passage Center,1,Yes,1.22,0.74,1.78,0.1,,,Natural,1307,,,,,,,,Returns to a dam,Not adjusted,,,,,,https://www.fpc.org/documents/CSS/CSS Report 2023 Final.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 2/12/2024 from Fish Passage Center (https://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,https://www.fpc.org/,https://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,70 JDA_to_BOA 2011 w/ jacks,30EAFEBC-9B46-B8B0-673C-0BB2570B13DC,2024/11/25 10:00,2024/02/12 09:54:08,2024/02/12 11:01:51,,2024/02/12 11:01:51,2024/07/31 04:06:19
Steelhead,Summer,Interior Columbia,Steelhead (Middle Columbia River DPS),Walla Walla and Umatilla,70,263,Umatilla River,Umatilla River - summer Steelhead,Steelhead (Middle Columbia River DPS) Umatilla River - summer,Umatilla River steelhead,Same,,Threemile Falls Dam,Smolts outmigrating past a point,,Threemile Falls Dam,From Threemile Falls Dam to Threemile Falls Dam,Including jacks,,2011,Yes,ODFW,Oregon Department of Fish and Wildlife,1,Yes,4.56,,,,No,,Natural,31387,,,,1431,,,,Returns to a dam,Tributaries,,,,,"Estimating Salmonid Smolt Abundance in Northeast-Central, Oregon v1.0",https://www.monitoringresources.org/Document/Protocol/Details/2176,,,Confederated Tribes of the Umatilla Indian Reservation,,No,Final,,,Smolt trap and dam counts may be found at https://www.streamnet.org/data/trends/,Kasey,Bliesner,541-975-3670,kasey.bliesner@odfw.oregon.gov,ODFW reserves the right to review and revise the data at any time.,ODFW,,30618010314,87B2EC75-ED3F-4342-847E-5FF368476280,2024/11/25 10:00,2022/11/22 01:30:00,2018/08/24 10:34:17,2021/01/12 02:38:11,2021/01/12 02:38:11,2022/12/05 09:22:08
Steelhead,Summer,Interior Columbia,Steelhead (Middle Columbia River DPS),Walla Walla and Umatilla,70,263,Umatilla River,Umatilla River - summer Steelhead,Steelhead (Middle Columbia River DPS) Umatilla River - summer,,Same,,John Day Dam,Smolts outmigrating past a point,JDA,Bonneville Dam,From John Day Dam to Bonneville Dam,Including jacks,,2012,,FPC,Fish Passage Center,1,Yes,5.14,3.51,6.9,0.1,,,Natural,816,,,,,,,,Returns to a dam,Not adjusted,,,,,,https://www.fpc.org/documents/CSS/CSS Report 2023 Final.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 2/12/2024 from Fish Passage Center (https://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,https://www.fpc.org/,https://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,70 JDA_to_BOA 2012 w/ jacks,30EB06DC-DE9D-3054-87ED-FB82453FA014,2024/11/25 10:00,2024/02/12 09:54:08,2024/02/12 11:01:55,,2024/02/12 11:01:55,2024/07/31 04:06:19
Steelhead,Summer,Interior Columbia,Steelhead (Middle Columbia River DPS),Walla Walla and Umatilla,70,263,Umatilla River,Umatilla River - summer Steelhead,Steelhead (Middle Columbia River DPS) Umatilla River - summer,Umatilla River steelhead,Same,,Threemile Falls Dam,Smolts outmigrating past a point,,Threemile Falls Dam,From Threemile Falls Dam to Threemile Falls Dam,Including jacks,,2012,Yes,ODFW,Oregon Department of Fish and Wildlife,1,Yes,8.83,,,,No,,Natural,48602,,,,4292,,,,Returns to a dam,Tributaries,,,,,"Estimating Salmonid Smolt Abundance in Northeast-Central, Oregon v1.0",https://www.monitoringresources.org/Document/Protocol/Details/2176,,,Confederated Tribes of the Umatilla Indian Reservation,,No,Final,,,Smolt trap and dam counts may be found at https://www.streamnet.org/data/trends/,Kasey,Bliesner,541-975-3670,kasey.bliesner@odfw.oregon.gov,ODFW reserves the right to review and revise the data at any time.,ODFW,,30618010314,D58CEB39-DCF9-4139-94E3-74889383C29B,2024/11/25 10:00,2022/11/22 01:30:00,2018/08/24 10:34:32,2021/01/12 02:38:10,2021/01/12 02:38:10,2022/12/05 09:22:06
Steelhead,Summer,Interior Columbia,Steelhead (Middle Columbia River DPS),Walla Walla and Umatilla,70,263,Umatilla River,Umatilla River - summer Steelhead,Steelhead (Middle Columbia River DPS) Umatilla River - summer,,Same,,John Day Dam,Smolts outmigrating past a point,JDA,Bonneville Dam,From John Day Dam to Bonneville Dam,Including jacks,,2013,,FPC,Fish Passage Center,1,Yes,4.12,3.12,5.2,0.1,,,Natural,1673,,,,,,,,Returns to a dam,Not adjusted,,,,,,https://www.fpc.org/documents/CSS/CSS Report 2023 Final.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 2/12/2024 from Fish Passage Center (https://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,https://www.fpc.org/,https://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,70 JDA_to_BOA 2013 w/ jacks,30EB0F98-BE53-4D27-8DA8-461D0D8DEBEA,2024/11/25 10:00,2024/02/12 09:54:08,2024/02/12 11:02:00,,2024/02/12 11:02:00,2024/07/31 04:06:19
Steelhead,Summer,Interior Columbia,Steelhead (Middle Columbia River DPS),Walla Walla and Umatilla,70,263,Umatilla River,Umatilla River - summer Steelhead,Steelhead (Middle Columbia River DPS) Umatilla River - summer,Umatilla River steelhead,Same,,Threemile Falls Dam,Smolts outmigrating past a point,,Threemile Falls Dam,From Threemile Falls Dam to Threemile Falls Dam,Including jacks,,2013,Yes,ODFW,Oregon Department of Fish and Wildlife,1,Yes,10.15,,,,No,,Natural,47534,,,,4823,,,,Returns to a dam,Tributaries,,,,,"Estimating Salmonid Smolt Abundance in Northeast-Central, Oregon v1.0",https://www.monitoringresources.org/Document/Protocol/Details/2176,,,Confederated Tribes of the Umatilla Indian Reservation,,No,Final,,,Smolt trap and dam counts may be found at https://www.streamnet.org/data/trends/,Kasey,Bliesner,541-975-3670,kasey.bliesner@odfw.oregon.gov,ODFW reserves the right to review and revise the data at any time.,ODFW,,30618010314,3C7EDB65-87A1-4492-8676-0F9DDD2A39BC,2024/11/25 10:00,2022/11/22 01:30:00,2018/08/24 10:33:58,2021/01/12 02:38:09,2021/01/12 02:38:09,2022/12/05 09:22:05
Steelhead,Summer,Interior Columbia,Steelhead (Middle Columbia River DPS),Walla Walla and Umatilla,70,263,Umatilla River,Umatilla River - summer Steelhead,Steelhead (Middle Columbia River DPS) Umatilla River - summer,,Same,,John Day Dam,Smolts outmigrating past a point,JDA,Bonneville Dam,From John Day Dam to Bonneville Dam,Including jacks,,2014,,FPC,Fish Passage Center,1,Yes,4.78,4.08,5.51,0.1,,,Natural,5294,,,,,,,,Returns to a dam,Not adjusted,,,,,,https://www.fpc.org/documents/CSS/CSS Report 2023 Final.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 2/12/2024 from Fish Passage Center (https://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,https://www.fpc.org/,https://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,70 JDA_to_BOA 2014 w/ jacks,30EB1563-9522-76F7-0C00-02390CE8F047,2024/11/25 10:00,2024/02/12 09:54:08,2024/02/12 11:02:04,,2024/02/12 11:02:04,2024/07/31 04:06:19
Steelhead,Summer,Interior Columbia,Steelhead (Middle Columbia River DPS),Walla Walla and Umatilla,70,263,Umatilla River,Umatilla River - summer Steelhead,Steelhead (Middle Columbia River DPS) Umatilla River - summer,Umatilla River steelhead,Same,,Threemile Falls Dam,Smolts outmigrating past a point,,Threemile Falls Dam,From Threemile Falls Dam to Threemile Falls Dam,Including jacks,,2014,,ODFW,Oregon Department of Fish and Wildlife,1,Yes,8.71,,,,No,,Natural,36581,,,,3186,,,,Returns to a dam,Tributaries,,,,,"Estimating Salmonid Smolt Abundance in Northeast-Central, Oregon v1.0",https://www.monitoringresources.org/Document/Protocol/Details/2176,,,Confederated Tribes of the Umatilla Indian Reservation,,No,Draft,,,Smolt trap and dam counts may be found at https://www.streamnet.org/data/trends/,Kasey,Bliesner,541-975-3670,kasey.bliesner@odfw.oregon.gov,ODFW reserves the right to review and revise the data at any time.,ODFW,,30618010314,EE53C94E-D9FA-4239-9B91-783C9644AF43,2024/11/25 10:00,2022/11/22 01:30:00,2021/09/30 02:37:33,,2021/09/30 02:37:33,2022/12/05 09:22:03
Steelhead,Summer,Interior Columbia,Steelhead (Middle Columbia River DPS),Walla Walla and Umatilla,70,263,Umatilla River,Umatilla River - summer Steelhead,Steelhead (Middle Columbia River DPS) Umatilla River - summer,,Same,,John Day Dam,Smolts outmigrating past a point,JDA,Bonneville Dam,From John Day Dam to Bonneville Dam,Including jacks,,2015,,FPC,Fish Passage Center,1,Yes,1.46,1.14,1.84,0.1,,,Natural,5203,,,,,,,,Returns to a dam,Not adjusted,,,,,,https://www.fpc.org/documents/CSS/CSS Report 2023 Final.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 2/12/2024 from Fish Passage Center (https://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,https://www.fpc.org/,https://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,70 JDA_to_BOA 2015 w/ jacks,30EB1CAD-F47F-B5ED-DF39-D3F755F31EA0,2024/11/25 10:00,2024/02/12 09:54:08,2024/02/12 11:02:09,,2024/02/12 11:02:09,2024/07/31 04:06:19
Steelhead,Summer,Interior Columbia,Steelhead (Middle Columbia River DPS),Walla Walla and Umatilla,70,263,Umatilla River,Umatilla River - summer Steelhead,Steelhead (Middle Columbia River DPS) Umatilla River - summer,Umatilla River steelhead,Same,,Threemile Falls Dam,Smolts outmigrating past a point,,Threemile Falls Dam,From Threemile Falls Dam to Threemile Falls Dam,Including jacks,,2015,,ODFW,Oregon Department of Fish and Wildlife,1,Yes,2.47,,,,No,,Natural,44740,,,,1106,,,,Returns to a dam,Tributaries,,,,,"Estimating Salmonid Smolt Abundance in Northeast-Central, Oregon v1.0",https://www.monitoringresources.org/Document/Protocol/Details/2176,,,Confederated Tribes of the Umatilla Indian Reservation,,No,Draft,,,Smolt trap and dam counts may be found at https://www.streamnet.org/data/trends/,Kasey,Bliesner,541-975-3670,kasey.bliesner@odfw.oregon.gov,ODFW reserves the right to review and revise the data at any time.,ODFW,,30618010314,EA285709-B3D5-43FD-A1BA-F2F1D26E023D,2024/11/25 10:00,2022/11/22 01:31:00,2021/09/30 02:37:32,,2021/09/30 02:37:32,2022/12/05 09:22:03
